Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
Chronicle of the Years of Fire,Streaming link,Streaming link,Algeria,1 975,Mohammed Lakhdar-Hamina,no,2h 57m,Drama,IMDB,5.1,The beginings of the Algerian Revolution as seen through the eyes of a peasant.,Arabic | French,7,1975-11-26,,,Chronicle of the Years of Fire,Chronique des années de braise
Samsara,Streaming link,,America,2 011,Ron Fricke,no dialog,1h 42m,Documentary,IMDB,8.1,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",No Language,378,2011-09-16,,,Samsara,Samsara
Before Sunset,Streaming link,,America,2 004,Richard Linklater,yes,1h 20m,Drama | Romance,IMDB,7.8,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",English | French,2109,2004-02-10,What if you had a second chance with the one that got away?,Before... Collection,Before Sunset,Before Sunset
Fahrenheit.9.11,Streaming link,,America,2 004,Michael Moore,yes,,,,,,,,,,,,
Coffee and Cigarettes,Streaming link,,America,2 003,Jim Jarmusch,yes,1h 36m,Comedy | Drama,IMDB,7.1,Coffee And Cigarettes is a collection of eleven films from cult director Jim Jarmusch. Each film hosts star studded cast of extremely unique individuals who all share the common activities of conversing while drinking coffee and smoking cigarettes.,English,566,2003-09-05,,,Coffee and Cigarettes,Coffee and Cigarettes
Elephant,Streaming link,,America,2 003,Gus Van Sant,yes,,,,,,,,,,,,
In the mirror of Maya Deren,Streaming link,,America,2 003,Maya Deren,yes,,,,,,,,,,,,
Gosford Park,Streaming link,,America,2 001,Robert Altman,yes,2h 11m,Drama | Mystery | Thriller,IMDB,6.9,"In 1930’s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",English,663,2001-11-07,Tea at four. Dinner at eight. Murder at midnight.,,Gosford Park,Gosford Park
Mulholland Drive,Streaming link,,America,2 001,David Lynch,yes,2h 27m,Drama | Mystery | Thriller,IMDB,7.9,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",English | Spanish,4003,2001-09-08,An actress longing to be a star. A woman searching for herself. Both worlds will collide… on Mulholland Drive.,,Mulholland Drive,Mulholland Drive
Waking Life,Streaming link,,America,2 001,Richard Linklater,yes,1h 39m,Animation | Drama,IMDB,7.6,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",English,598,2001-10-19,Dreams. What are they? An escape from reality or reality itself?,,Waking Life,Waking Life
Magnolia,Streaming link,,America,1 999,Paul Thomas Anderson,yes,1h 27m,Comedy | Romance | TV Movie,IMDB,6.4,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,English,78,2020-11-05,"This New Year's Eve, the countdown to love is on.",,Midnight at the Magnolia,Midnight at the Magnolia
Sweet and Lowdown,Streaming link,,America,1 999,Woody Allen,yes,1h 35m,Comedy | Drama | Music,IMDB,6.9,"A comedic biopic focused on the life of fictional jazz guitarist Emmett Ray. Ray was an irresponsible, free-spending, arrogant, obnoxious, alcohol-abusing, miserable human being, who was also arguably the best guitarist in the world.",English,299,1999-12-03,,,Sweet and Lowdown,Sweet and Lowdown
Lost Highway,Streaming link,,America,1 997,David Lynch,yes,2h 14m,Drama | Mystery | Thriller,IMDB,7.6,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",English,1575,1997-01-15,,,Lost Highway,Lost Highway
